playerid,dates,handle,ggr,last_12months_segment,Target_CG,bonus
1167618,6/25/2019,317.3,-19.84,low,Target,5
1139939,6/23/2019,317.15,37.3,low,Target,5
1165513,11/26/2019,317.15,113.99,vip,Target,50
1232188,2/2/2019,317,100,vip,Target,50
1255673,4/20/2019,317,49.5,medium,Target,10
1196912,8/9/2019,317,24.9,medium,Target,10
1217510,12/28/2019,316.99,85.15,high,Control Group,0
1167338,10/19/2019,316.8,25.15,medium,Target,10
1279058,9/13/2019,316.5,161.35,low,Target,5
1158811,10/19/2019,316.5,24.94,low,Target,5
1283078,5/12/2019,316.36,124.96,medium,Target,10
1155176,2/3/2020,316.35,46.77,medium,Control Group,0
1217510,7/12/2019,316.2,19.83,high,Control Group,0
1212002,7/13/2019,316,160,medium,Target,10
1187561,11/28/2019,315.95,190.35,high,Target,20
1136220,4/4/2019,315.6,-125.67,medium,Control Group,0
1217510,2/18/2019,315.1,55.86,high,Control Group,0
1287121,4/26/2019,315,10,regnodep,Target,5
1269553,1/29/2019,315,14.5,medium,Target,10
1269553,2/21/2019,315,57,medium,Target,10
1165350,4/6/2019,315,-140,low,Control Group,0
1365760,2/1/2020,315,45,low,Control Group,0
1148935,8/1/2019,314.8,80.07,medium,Target,10
1343991,12/19/2019,314.8,50.1,vip,Target,50
1425424,1/12/2020,314.7,61.73,low,Target,5
1217510,12/26/2019,314.6,76.97,high,Control Group,0
1160970,3/2/2019,314.5,-52.4,low,Control Group,0
1162357,2/21/2019,314.05,-334.96,low,Target,5
1171041,10/4/2019,313.6,59.19,high,Target,20
1157739,11/15/2019,313.6,-0.08,low,Target,5
1251036,3/29/2019,313.5,32.8,medium,Control Group,0
1160970,7/10/2019,313.2,125.14,low,Control Group,0
1165513,6/11/2019,313.15,83.95,vip,Target,50
1158039,6/19/2019,312.6,26.05,vip,Target,50
1164847,4/30/2019,312.51,42.2,high,Target,20
1368045,12/9/2019,312.5,42,high,Target,20
1167420,5/3/2019,312.4,42.2,vip,Control Group,0
1273263,6/12/2019,312.4,-118.65,regnodep,Target,5
1251036,5/21/2019,312,-20.09,medium,Control Group,0
1252502,6/6/2019,312,-68,medium,Target,10
1409639,1/1/2020,311.85,129.77,low,Target,5
1157739,4/7/2019,311.8,22.38,low,Target,5
1171041,7/6/2019,311.8,142.63,high,Target,20
1215456,5/13/2019,311.7,18.14,low,Control Group,0
1194792,6/24/2019,311.52,191.52,high,Target,20
1231623,1/29/2020,311.5,40,low,Target,5
1438655,12/16/2019,311.45,65.59,low,Target,5
1272983,8/13/2019,310.92,152.33,high,Target,20
1133225,8/12/2019,310.85,54.32,medium,Target,10
1292198,7/21/2019,310.64,199.94,medium,Target,10
1232188,5/21/2019,310,40,vip,Target,50
1253032,11/22/2019,310,-70,low,Target,5
1429054,1/25/2020,310,-62,low,Target,5
1158811,3/23/2019,309.93,100.05,low,Target,5
1158811,2/6/2020,309.9,75.31,low,Target,5
1128604,1/24/2019,309.6,99.93,medium,Target,10
1160970,11/3/2019,309.2,13.48,low,Control Group,0
1269553,3/31/2019,309,20,medium,Target,10
1160970,10/3/2019,309,0.84,low,Control Group,0
1263148,12/9/2019,309,211.1,vip,Target,50
1292198,9/21/2019,308.88,99.63,medium,Target,10
1157739,1/19/2020,308.8,-75.14,low,Target,5
1217510,4/29/2019,308.7,43.93,high,Control Group,0
1266316,11/10/2019,308.5,-274,low,Control Group,0
1128675,1/23/2019,308.45,40.29,low,Target,5
1171041,9/8/2019,308.4,59.01,high,Target,20
1183228,9/9/2019,308.4,90.29,medium,Target,10
1281210,3/18/2019,308,8.5,regnodep,Control Group,0
